"Sample","Traverse","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","PERCENTDIST","ABSDIST","Drift.nm.s.","Species","Macaca"
"MacacaA","Basin",330.243846,15968.13014,198.456875,3487606.078,389.627503,390.589942,94.153672,96.16563293,4.578536,2.007352,245.415796,1.804269,-56.178003,6.097,74.50980392,760,-0.074366,"Macaca mulatta","Macaca"
"MacacaA","Basin",329.78193,16453.69434,201.224013,3478702.408,390.752201,391.107964,95.588577,97.76449002,4.729837,3.078289,249.416313,1.732849,-56.178003,6.117,76.47058824,780,-0.068496,"Macaca mulatta","Macaca"
"MacacaA","Basin",329.00252,16724.16284,200.344182,3463703.304,390.932836,391.610388,95.376465,97.52786721,4.828405,2.190926,242.490205,1.786359,-56.178003,6.137,78.43137255,800,-0.074018,"Macaca mulatta","Macaca"
"MacacaA","Basin",331.833381,16375.55673,204.501603,3518327.484,392.556089,391.889964,96.59695,98.89069408,4.654358,6.194332,262.19546,1.619654,-56.178003,6.157,80.39215686,820,-0.067285,"Macaca mulatta","Macaca"
"MacacaA","Basin",329.096065,16294.01691,198.710405,3465501.892,389.696407,390.595173,94.574132,96.63368289,4.701777,5.095606,255.674321,1.6454,-56.178003,6.177,82.35294118,840,-0.061466,"Macaca mulatta","Macaca"
"MacacaA","Basin",327.220556,17076.88808,200.679297,3429526.114,390.994672,391.042118,96.010856,98.23585034,4.979373,1.762272,236.149768,1.82022,-56.178003,6.197,84.31372549,860,-0.066101,"Macaca mulatta","Macaca"
"MacacaA","Basin",335.597064,16544.42896,196.56041,3591577.671,397.864907,398.724332,91.894231,93.65684677,4.606452,2.992025,253.099509,1.730134,-56.178003,6.2175,86.32352941,880.5,-0.067318,"Macaca mulatta","Macaca"
"MacacaA","Basin",328.270382,16278.69722,196.723212,3449641.847,391.148113,390.332315,93.843335,95.8204101,4.718953,1.805029,239.998792,1.816736,-56.178003,6.237,88.23529412,900,-0.061348,"Macaca mulatta","Macaca"
"MacacaA","Basin",316.011012,17746.8636,175.101847,3218211.18,391.178775,392.02476,86.480519,87.6892017,5.514512,9.375707,239.83324,1.501618,-56.178003,6.357,100,1020,-0.060676,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",340.697914,8942.186408,112.466249,3691992.787,400.131146,400.33038,51.859296,50.92115361,2.422049,1.458503,260.063439,1.764143,-59.913003,2.8455,100,300.0004167,-0.355956,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",323.128382,11545.0039,119.688893,3351647.225,394.66015,395.472212,57.924131,57.19311789,3.444576,4.078717,242.967095,1.581045,-59.893003,2.8455,93.33333333,280.0004464,0.345428,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",318.69001,12544.32796,123.320241,3268136.33,394.085941,394.981184,60.439256,59.81468673,3.838374,2.223523,224.072464,1.680162,-59.873003,2.846,86.66666667,260,0.665847,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",341.45611,8601.398621,120.96056,3707030.602,394.816342,394.787948,55.662862,54.84646784,2.320293,1.375851,266.706436,1.801197,-59.853003,2.846,80,240,0.550974,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",318.108393,14559.3381,141.085285,3257266.612,394.338972,395.504867,69.261181,69.10673087,4.469802,4.442097,231.673158,1.587589,-59.793003,2.846,60,180,0.191663,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",337.710219,11321.81544,130.981788,3633017.953,401.858072,402.538786,60.885233,60.28080592,3.116366,0.668796,237.678631,1.907263,-59.773003,2.846,53.33333333,160,0.188248,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",328.894606,13880.28082,150.39939,3461629.006,397.033333,398.111712,71.621043,71.61820421,4.009754,3.933121,247.729445,1.629463,-59.753003,2.846,46.66666667,140,0.090202,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",317.543631,14152.33136,137.478306,3246728.278,393.526697,394.750347,67.599896,67.34530401,4.358952,1.896702,217.457125,1.722258,-59.713003,2.846,33.33333333,100,-0.010564,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",323.533407,13301.7595,138.65071,3359317.604,394.368752,395.4863,67.024162,66.73612979,3.959661,2.477589,233.526862,1.688182,-59.692503,2.846,26.5,79.5,0.062246,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",320.285426,13998.80341,142.254336,3298040.51,393.148234,394.090576,69.402058,69.25634979,4.244582,1.688115,221.673027,1.752089,-59.673003,2.846,20,60,-0.030849,"Macaca mulatta","Macaca"
"MacacaA","BuccalBase",320.065581,13957.6962,140.794108,3293912.128,393.044224,394.417216,68.732684,68.5457873,4.237422,1.5424,219.525696,1.764166,-59.653003,2.846,13.33333333,40,-0.062789,"Macaca mulatta","Macaca"
